"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/09/2025","227.92","229.89","230.26","226.14","20.62M","-1.19%"
"03/09/2025","230.66","226.21","231.31","224.79","103.34M","9.14%"
"02/09/2025","211.35","208.44","211.68","206.20","47.52M","-0.73%"
"29/08/2025","212.91","210.51","214.65","210.20","39.73M","0.60%"
"28/08/2025","211.64","207.25","212.22","206.90","32.34M","2.01%"
"27/08/2025","207.48","205.70","208.91","205.65","23.02M","0.16%"
"26/08/2025","207.14","207.51","207.85","205.70","28.46M","-0.65%"
"25/08/2025","208.49","206.43","210.52","205.28","29.93M","1.16%"
"22/08/2025","206.09","202.73","208.54","201.30","42.83M","3.17%"
"21/08/2025","199.75","199.74","202.48","199.43","19.77M","0.22%"
"20/08/2025","199.32","200.73","201.28","196.60","28.96M","-1.12%"
"19/08/2025","201.57","203.03","203.44","199.96","24.24M","-0.95%"
"18/08/2025","203.50","204.20","205.26","202.49","18.53M","-0.20%"
"15/08/2025","203.90","203.85","206.44","201.28","34.93M","0.47%"
"14/08/2025","202.94","201.50","204.44","201.23","25.23M","0.49%"
"13/08/2025","201.96","204.13","204.53","197.51","28.34M","-0.68%"
"12/08/2025","203.34","201.37","204.50","200.59","30.42M","1.16%"
"11/08/2025","201.00","200.93","201.48","199.07","25.83M","-0.21%"
"08/08/2025","201.42","197.22","202.61","197.17","39.16M","2.49%"
"07/08/2025","196.52","197.06","197.54","194.33","26.32M","0.22%"
"06/08/2025","196.09","194.50","196.63","193.67","21.56M","0.73%"
"05/08/2025","194.67","194.71","197.86","193.88","31.60M","-0.19%"
"04/08/2025","195.04","190.29","195.27","190.12","31.55M","3.12%"
"01/08/2025","189.13","189.02","190.83","187.82","34.83M","-1.44%"
"31/07/2025","191.90","195.71","195.99","191.09","51.33M","-2.36%"
"30/07/2025","196.53","195.60","197.60","194.68","32.45M","0.40%"
"29/07/2025","195.75","192.43","195.92","192.08","41.39M","1.65%"
"28/07/2025","192.58","193.65","194.05","190.84","38.14M","-0.31%"
"25/07/2025","193.18","191.98","194.33","191.26","39.79M","0.53%"
"24/07/2025","192.17","197.03","197.95","191.00","74.88M","1.02%"
