"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"12/09/2025","987.37","986.20","987.99","986.20","0.44K","-0.08%"
"11/09/2025","988.12","986.39","988.35","986.39","0.73K","0.19%"
"10/09/2025","986.24","987.79","990.06","986.24","0.61K","0.32%"
"09/09/2025","983.06","984.78","985.44","981.93","0.44K","-0.36%"
"08/09/2025","986.65","990.24","991.16","986.65","0.52K","-0.95%"
"05/09/2025","996.10","995.75","997.22","995.52","0.77K","0.84%"
"04/09/2025","987.80","984.00","987.90","983.70","2.25K","0.40%"
"03/09/2025","983.87","984.38","984.83","982.46","0.43K","-0.20%"
"02/09/2025","985.88","983.84","986.39","983.66","0.76K","0.15%"
"01/09/2025","984.43","988.68","989.08","984.43","1.43K","-0.81%"
"29/08/2025","992.49","993.11","993.93","991.39","0.63K","0.00%"
"28/08/2025","992.51","991.00","995.02","990.20","0.39K","-0.27%"
"27/08/2025","995.21","994.00","996.49","993.35","0.48K","0.41%"
"26/08/2025","991.16","992.76","992.76","986.69","0.85K","-0.22%"
"25/08/2025","993.31","995.81","996.00","993.30","0.60K","0.32%"
"22/08/2025","990.12","991.82","991.82","989.16","0.50K","-0.36%"
"21/08/2025","993.69","991.12","995.10","991.00","0.84K","0.37%"
"20/08/2025","990.00","990.27","993.60","989.58","0.63K","0.01%"
"19/08/2025","989.86","988.70","991.77","988.70","0.66K","0.13%"
"18/08/2025","988.57","990.24","990.32","987.50","0.82K","-0.66%"
"15/08/2025","995.10","992.93","996.01","992.93","0.50K","1.19%"
"14/08/2025","983.39","985.00","985.12","981.50","1.08K","-0.14%"
"13/08/2025","984.75","984.57","986.10","983.91","0.41K","0.65%"
"12/08/2025","978.42","976.84","979.08","975.82","0.46K","-0.02%"
"11/08/2025","978.57","973.10","979.68","973.10","0.50K","0.69%"
"08/08/2025","971.85","971.59","973.77","970.93","0.77K","-0.20%"
"07/08/2025","973.77","974.71","976.87","973.00","0.35K","0.19%"
"06/08/2025","971.92","970.04","972.00","968.68","0.37K","-0.77%"
"05/08/2025","979.42","976.54","980.00","975.57","0.76K","1.63%"
"04/08/2025","963.69","976.14","976.14","961.75","1.30K","-1.74%"
"01/08/2025","980.73","982.83","983.50","980.00","1.23K","-1.03%"
"31/07/2025","990.94","989.55","994.71","978.00","0.58K","1.38%"
"30/07/2025","977.45","978.00","978.00","974.04","0.27K","-0.05%"
"29/07/2025","977.96","976.84","978.76","976.17","0.36K","0.25%"
"28/07/2025","975.56","966.89","975.69","966.50","1.18K","0.90%"
"25/07/2025","966.89","963.23","967.88","963.23","0.35K","0.88%"
"24/07/2025","958.43","961.21","962.67","957.97","0.40K","-0.19%"
"23/07/2025","960.30","965.50","965.50","959.71","0.49K","-0.47%"
"22/07/2025","964.80","964.53","966.23","963.99","0.64K","-0.04%"
"21/07/2025","965.17","965.70","966.83","964.57","0.72K","-0.33%"
