"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/09/2025","237.36","238.47","239.89","237.07","17.23M","-0.47%"
"03/09/2025","238.47","237.21","238.85","234.36","66.43M","3.81%"
"02/09/2025","229.72","229.25","230.85","226.97","44.08M","-1.04%"
"29/08/2025","232.14","232.51","233.38","231.37","39.42M","-0.18%"
"28/08/2025","232.56","230.82","233.41","229.34","38.07M","0.90%"
"27/08/2025","230.49","228.61","230.90","228.26","31.26M","0.51%"
"26/08/2025","229.31","226.87","229.49","224.69","54.58M","0.95%"
"25/08/2025","227.16","226.48","229.30","226.23","30.98M","-0.26%"
"22/08/2025","227.76","226.17","229.09","225.41","42.48M","1.27%"
"21/08/2025","224.90","226.27","226.52","223.78","30.62M","-0.49%"
"20/08/2025","226.01","229.98","230.47","225.77","42.26M","-1.97%"
"19/08/2025","230.56","231.27","232.87","229.35","39.40M","-0.14%"
"18/08/2025","230.89","231.70","233.12","230.11","37.48M","-0.30%"
"15/08/2025","231.59","234.00","234.28","229.34","56.04M","-0.51%"
"14/08/2025","232.78","234.05","235.12","230.85","51.92M","-0.24%"
"13/08/2025","233.33","231.07","235.00","230.43","69.88M","1.60%"
"12/08/2025","229.65","228.01","230.80","227.07","55.67M","1.09%"
"11/08/2025","227.18","227.92","229.56","224.76","61.81M","-0.95%"
"08/08/2025","229.35","220.83","231.00","219.25","113.85M","4.24%"
"07/08/2025","220.03","218.88","220.85","216.58","90.22M","3.18%"
"06/08/2025","213.25","205.63","215.38","205.59","108.48M","5.09%"
"05/08/2025","202.92","203.40","205.34","202.16","44.16M","-0.21%"
"04/08/2025","203.35","204.51","207.88","201.68","75.11M","0.48%"
"01/08/2025","202.38","210.87","213.58","201.50","104.43M","-2.50%"
"31/07/2025","207.57","208.49","209.84","207.16","80.70M","-0.71%"
"30/07/2025","209.05","211.90","212.39","207.72","45.51M","-1.05%"
"29/07/2025","211.27","214.18","214.81","210.82","51.41M","-1.30%"
"28/07/2025","214.05","214.03","214.85","213.06","37.86M","0.08%"
"25/07/2025","213.88","214.70","215.24","213.40","40.27M","0.06%"
"24/07/2025","213.76","213.90","215.69","213.53","46.02M","-0.18%"
"23/07/2025","214.15","215.00","215.15","212.41","46.99M","-0.12%"
"22/07/2025","214.40","213.14","214.95","212.23","46.40M","0.90%"
